,Grid,Disturbance,Range
540,PEL,4.6329,WSAR
541,PEL,4.0584,WSAR
542,PEL,3.4318,WSAR
543,PEL,3.901,WSAR
544,PEL,1.4038,WSAR
545,PEL,1.6259,WSAR
546,PEL,1.348,WSAR
547,PEL,1.7861,WSAR
548,PEL,1.4646,WSAR
549,PEL,0.66,WSAR
550,PEL,1.4593,WSAR
551,PEL,4.1542,WSAR
552,PEL,1.693,WSAR
553,PEL,4.3623,WSAR
554,PEL,2.6934,WSAR
555,PEL,3.0339,WSAR
556,PEL,5.7579,WSAR
557,PEL,3.28,WSAR
558,PEL,3.3913,WSAR
559,PEL,0.4394,WSAR
560,PEL,0.7701,WSAR
561,PEL,2.0186,WSAR
562,PEL,0.4055,WSAR
563,PEL,3.0861,WSAR
564,PEL,3.845,WSAR
565,PEL,4.1191,WSAR
566,PEL,3.763,WSAR
567,PEL,2.0087,WSAR
568,PEL,0.6003,WSAR
569,PEL,1.6483,WSAR
570,PEL,1.8787,WSAR
571,PEL,2.8743,WSAR
572,PEL,4.8644,WSAR
573,CAL,2.3377,WSAR
574,CAL,6.7808,WSAR
575,CAL,4.6023,WSAR
576,CAL,3.1164,WSAR
577,CAL,1.5728,WSAR
578,CAL,2.7923,WSAR
579,CAL,2.1695,WSAR
580,CAL,4.8407,WSAR
581,CAL,2.1783,WSAR
582,CAL,2.9498,WSAR
583,CAL,2.397,WSAR
584,CAL,2.8277,WSAR
585,CAL,3.0506,WSAR
586,CAL,4.2364,WSAR
587,CAL,1.2445,WSAR
588,CAL,11.4558,WSAR
589,CAL,8.5247,WSAR
590,CAL,2.4376,WSAR
591,CAL,2.7346,WSAR
592,CAL,4.155,WSAR
593,CAL,2.4574,WSAR
594,CAL,0.9717,WSAR
595,CAL,1.1192,WSAR
596,CAL,1.5428,WSAR
597,CAL,2.1836,WSAR
598,CAL,4.5835,WSAR
599,CAL,1.1143,WSAR
600,CAL,4.1793,WSAR
601,CAL,23.21,WSAR
602,CAL,1.525,WSAR
603,CAL,5.6332,WSAR
604,CAL,14.3958,WSAR
605,CAL,0.9915,WSAR
606,CAL,26.4845,WSAR
607,CAL,4.5722,WSAR
608,CAL,9.3574,WSAR
609,CAL,26.9974,WSAR
610,CAL,21.4205,WSAR
611,CAL,55.0352,WSAR
612,CAL,2.4209,WSAR
613,CAL,6.8608,WSAR
614,CAL,14.0862,WSAR
615,CAL,22.9618,WSAR
616,CAL,37.1235,WSAR
617,CAL,41.0159,WSAR
618,CAL,18.2208,WSAR
619,CAL,4.2429,WSAR
620,LLB,2.4898,ESAR
621,LLB,0,ESAR
622,CAL,4.3316,WSAR
623,CAL,9.8918,WSAR
624,CAL,43.3156,WSAR
625,CAL,69.3864,WSAR
626,CAL,55.9529,WSAR
627,LLB,1.0342,ESAR
628,LLB,10.0946,ESAR
629,LLB,7.7743,ESAR
630,LLB,1.4638,ESAR
631,LLB,0.8243,ESAR
632,LLB,0,ESAR
633,CAL,18.8509,WSAR
634,CAL,15.6893,WSAR
635,CAL,38.9207,WSAR
636,CAL,19.5962,WSAR
637,CAL,13.3087,WSAR
638,CAL,4.5641,WSAR
639,LLB,16.2804,ESAR
640,LLB,8.9612,ESAR
641,LLB,1.6155,ESAR
642,LLB,3.8657,ESAR
643,LLB,2.6463,ESAR
644,LLB,0.1455,ESAR
645,CAL,20.8919,WSAR
646,CAL,14.8806,WSAR
647,CAL,38.7058,WSAR
648,CAL,10.9835,WSAR
649,CAL,16.9188,WSAR
650,LLB,16.2279,ESAR
651,LLB,1.6636,ESAR
652,LLB,3.6082,ESAR
653,LLB,13.0111,ESAR
654,LLB,0.0919,ESAR
655,CAL,3.7314,WSAR
656,CAL,42.5596,WSAR
657,CAL,61.6899,WSAR
658,CAL,6.1701,WSAR
659,CAL,19.0885,WSAR
660,LLB,2.3574,ESAR
661,LLB,2.4044,ESAR
662,LLB,3.2778,ESAR
663,LLB,5.7164,ESAR
664,LLB,0,ESAR
665,CAL,2.1137,WSAR
666,CAL,45.0039,WSAR
667,CAL,33.1731,WSAR
668,CAL,9.4949,WSAR
669,LLB,1.6696,ESAR
670,LLB,1.4706,ESAR
671,LLB,2.2778,ESAR
672,LLB,14.0741,ESAR
673,LLB,1.5412,ESAR
674,LLB,2.5299,ESAR
675,LLB,1.7863,ESAR
676,LLB,2.943,ESAR
677,LLB,0.6447,ESAR
678,LLB,24.4265,ESAR
679,LLB,0.8242,ESAR
680,LLB,0,ESAR
681,LLB,0.845,ESAR
682,LLB,0.3052,ESAR
683,LLB,17.4928,ESAR
684,LLB,2.0952,ESAR
685,LLB,2.4679,ESAR
686,LLB,1.2622,ESAR
687,LLB,3.7693,ESAR
688,LLB,29.1201,ESAR
689,LLB,27.1324,ESAR
690,LLB,11.1167,ESAR
691,LLB,0.829,ESAR
692,LLB,1.0369,ESAR
693,LLB,10.1809,ESAR
694,LLB,47.2136,ESAR
695,LLB,26.7374,ESAR
696,LLB,52.1263,ESAR
697,LLB,10.299,ESAR
698,LLB,66.7609,ESAR
699,LLB,66.1353,ESAR
700,LLB,1.6332,ESAR
701,LLB,51.3522,ESAR
702,LLB,6.2328,ESAR
703,LLB,61.6503,ESAR
704,LLB,49.3578,ESAR
705,LLB,8.9255,ESAR
706,LLB,18.5362,ESAR
707,LLB,10.9357,ESAR
708,LLB,78.3649,ESAR
709,LLB,71.469,ESAR
710,LLB,37.9043,ESAR
711,LLB,1.225,ESAR
712,LLB,4.7253,ESAR
713,LLB,96.5067,ESAR
714,LLB,61.2371,ESAR
715,LLB,23.7393,ESAR
716,LLB,0.6805,ESAR
717,LID,0,CL
718,LID,0.6015,CL
719,LID,0,CL
720,LID,0,CL
721,LID,0,CL
722,LID,0.6009,CL
